OBJECTID,SAP_FUNCTIONAL_LOCATION,ITEM_DESCRIPTION,ITEM_TYPE,PARK_NUMBER,PARK_NAME,SUBURB,LONG,LAT,SHAPE_Length,SHAPE_Area
1,B-RE-1977-N002,CAMERON ROCKS WAR MEMORIAL,CULTURAL HERITAGE SITE,D0171,CAMERON ROCKS RESERVE,HAMILTON,153.049445410233,-27.4403433674774,185.870335071916,1381.4913939892
2,B-RE-1989-N010,ZILLMERE RD WAR MONUMENT,CULTURAL HERITAGE SITE,D0243,O'CALLAGHAN PARK,ZILLMERE,153.043552041667,-27.360387395656,57.5228342030807,205.813485495154
3,B-RE-1768-N005,BALD HILLS ANZAC CENTENARY MEMORIAL,CULTURAL HERITAGE SITE,D0219,JOHN STEWART MEMORIAL PARK,BALD HILLS,153.009171640076,-27.3257797445293,81.5920027587895,309.076230091264
4,B-RE-1792-N006,ANNING WAR MONUMENT,CULTURAL HERITAGE SITE,D0031,HEMMANT RECREATION RESERVE,HEMMANT,153.125851535195,-27.4503561469384,94.1334893708981,579.042905562281
5,B-RE-1453-N011,YERONGA MEMORIAL & ANZAC AVE OF PALMS,CULTURAL HERITAGE SITE,D0389,YERONGA MEMORIAL PARK,YERONGA,153.026975005783,-27.5193496677891,393.035949433991,1840.50879061576
6,B-RE-1781-N004,NORMAN PARK MEMORIAL GARDEN,CULTURAL HERITAGE SITE,D0045,DONALDSON STREET PARK,NORMAN PARK,153.055115972701,-27.4772428483566,133.31340858476,996.618949862657
7,B-RE-2806-N001,TINGALPA WAR MEMORIAL (DIGGER),CULTURAL HERITAGE SITE,D2220,TINGALPA WAR MEMORIAL (ROAD RESERVE),TINGALPA,153.129150290438,-27.4745365919597,107.731620008604,794.627414072668
8,B-RE-1736-N019,SANDAKAN MEMORIAL,CULTURAL HERITAGE SITE,D0095,NEW FARM PARK,NEW FARM,153.051698389122,-27.471002542231,233.093014809849,2325.16071482758
9,B-RE-1828-N008,LYNDON B JOHNSON PLACE,CULTURAL HERITAGE SITE,D0084,NEWSTEAD PARK,NEWSTEAD,153.04685782,-27.442409459,215.459322224882,1285.48918059438
10,B-RE-1853-N007,WHITES HILL RESERVE MEMORIAL,CULTURAL HERITAGE SITE,D0056,WHITES HILL RESERVE,CAMP HILL,153.078274486459,-27.5093654151322,72.1700755284094,361.047939900429
11,B-RE-1557-N025,CANON GARLAND ANZAC DAY MEMORIAL,CULTURAL HERITAGE SITE,D0680,KANGAROO POINT CLIFFS PARK,KANGAROO POINT,153.035117030512,-27.4751390003378,40.3342978117708,81.4343589929479
12,B-RE-1793-N006,BULIMBA WAR MEMORIAL & OXFORD ST AVENUE OF HONOUR,CULTURAL HERITAGE SITE,D0030,BULIMBA MEMORIAL PARK,BULIMBA,153.057523982606,-27.4512393437388,384.116357335152,2472.88382783231
13,B-RE-2022-N005,GRACEVILLE WW 1 MEMORIAL,CULTURAL HERITAGE SITE,D0300,GRACEVILLE MEMORIAL PARK,GRACEVILLE,152.976641890906,-27.5184524592371,120.1169047295,657.524429107983
14,B-RE-1962-N001,STEWART PLACE MEMORIAL SQUARE,CULTURAL HERITAGE SITE,D0187,STEWART PLACE PARK,ASHGROVE,152.99182581425,-27.4454530005847,125.599888896047,1033.21232886743
15,B-RE-2004-N019,KEDRON WAVELL SERVICES CLUB CENOTAPH,CULTURAL HERITAGE SITE,D0228,7TH BRIGADE PARK,CHERMSIDE,153.035722553368,-27.3849908452106,47.2530912493711,156.562637535069
16,B-RE-1807-N001,KEATING PK WAR MEMORIAL,CULTURAL HERITAGE SITE,D0015,KEATING PARK,INDOOROOPILLY,152.975387593834,-27.5000101052064,81.1173518513109,397.100972224482
17,B-RE-1868-N002,SANDGATE MEMORIAL,CULTURAL HERITAGE SITE,D0285,SANDGATE MEMORIAL PARK,SANDGATE,153.069740623402,-27.3206260813564,70.2679257651759,308.591476347527
18,B-RE-1798-N005,KEITH PAYNE PK MEMORIAL PRECINCT,CULTURAL HERITAGE SITE,D0024,KEITH PAYNE PARK,STAFFORD,153.021745546861,-27.4103216295444,84.7259975610467,152.775276994116
